idx,canonicalsmiles,precursor,capacity,molwt
110,[Na][O]B([O][Na])c1ccncn1,B(C1=NC=NC=C1)(O)O,159.6785381454653,167.872
111,[Na][O]B([O][Na])c1cnoc1,B(C1=CON=C1)(O)O,170.90475026654056,156.845
112,C#Cc1ccccc1B([O][Na])[O][Na],B(C1=CC=CC=C1C#C)(O)O,141.14278559986707,189.91800000000003
113,Cc1cc(B([O][Na])[O][Na])cs1,B(C1=CSC(=C1)C)(O)O,144.1530908812788,185.95200000000003
114,Cn1ccc(B([O][Na])[O][Na])cc1=O,B(C1=CC(=O)N(C=C1)C)(O)O,136.13100175489083,196.91000000000005
115,Cn1nccc1B([O][Na])[O][Na],B(C1=CC=NN1C)(O)O,157.7836901697327,169.88800000000003
116,[2H]c1c([2H])c([2H])c(B([O][Na])[O][Na])c([2H])c1[2H],[2H]C1=C(C(=C(C(=C1[2H])[2H])B(O)O)[2H])[2H],156.82503392616718,170.92650888999995
117,C=CB([O][Na])[O][Na],B(C=C)(O)O,231.4095406916292,115.83599999999996
118,[Na][O]B(CCC1CCCCC1)[O][Na],B(CCC1CCCCC1)(O)O,134.02911806895838,199.99800000000013
119,[Na][O]B([O][Na])[C@H]1CCOC1,B([C@H]1CCOC1)(O)O,167.65103012437095,159.88900000000004
120,Cc1cn[nH]c1B([O][Na])[O][Na],B(C1=C(C=NN1)C)(O)O,157.7836901697327,169.88800000000003
121,CCCC/C=C/B([O][Na])[O][Na],B(/C=C/CCCC)(O)O,155.89701039614954,171.9440000000001
122,[Na][O]B(/C=C/CCl)[O][Na],B(/C=C/CCl)(O)O,163.14212062440993,164.30800000000005
123,C/C=C\B([O][Na])[O][Na],B(/C=C\C)(O)O,206.414109912412,129.863
124,[Na][O]B([O][Na])c1ccc2c(c1)CC2,B(C1=CC2=C(CC2)C=C1)(O)O,139.6602767386474,191.93400000000003
125,O=Cc1coc(B([O][Na])[O][Na])c1,B(C1=CC(=CO1)C=O)(O)O,145.78774633596868,183.867
126,COc1ccncc1B([O][Na])[O][Na],B(C1=C(C=CN=C1)OC)(O)O,136.1310017548908,196.91000000000005
127,Cc1cncc(B([O][Na])[O][Na])c1,B(C1=CC(=CN=C1)C)(O)O,148.16984901722697,180.9110000000001
128,Cc1ccncc1B([O][Na])[O][Na],B(C1=C(C=CN=C1)C)(O)O,148.16984901722697,180.9110000000001
129,Cc1cccc(B([O][Na])[O][Na])n1,B(C1=NC(=CC=C1)C)(O)O,148.16984901722697,180.9110000000001
130,Cc1ccc(B([O][Na])[O][Na])nc1,B(C1=NC=C(C=C1)C)(O)O,148.169849017227,180.91100000000003
131,Cc1cnc(C)c(B([O][Na])[O][Na])c1,B(C1=CC(=CN=C1C)C)(O)O,137.5081079910307,194.93800000000007
132,Cc1ccc(B([O][Na])[O][Na])c(C)n1,B(C1=C(N=C(C=C1)C)C)(O)O,137.50810799103073,194.93800000000005
133,Fc1cnccc1B([O][Na])[O][Na],B(C1=C(C=NC=C1)F)(O)O,144.99364732496483,184.874
134,Fc1ccncc1B([O][Na])[O][Na],B(C1=C(C=CN=C1)F)(O)O,144.99364732496483,184.874
135,Cc1c(F)cccc1B([O][Na])[O][Na],B(C1=C(C(=CC=C1)F)C)(O)O,135.44110571592338,197.91300000000007
136,Cc1cc(B([O][Na])[O][Na])ccn1,B(C1=CC(=NC=C1)C)(O)O,148.169849017227,180.91100000000003
137,CC(C)CC=CB([O][Na])[O][Na],B(C=CCC(C)C)(O)O,155.89701039614954,171.9440000000001
138,O=Cc1cc(B([O][Na])[O][Na])co1,B(C1=COC(=C1)C=O)(O)O,145.78774633596868,183.867
139,O=C(CCB([O][Na])[O][Na])[O][Na],B(CCC(=O)O)(O)O,291.61355673651485,183.843
140,[Na][O]B(CC1CCCCC1)[O][Na],B(CC1CCCCC1)(O)O,144.13836326930294,185.9710000000001
141,O=Cc1cc(B([O][Na])[O][Na])cs1,B(C1=CSC(=C1)C=O)(O)O,134.07135096684198,199.93500000000003
142,CCC(CC)CB([O][Na])[O][Na],B(CC(CC)CC)(O)O,154.09034005263013,173.96000000000012
143,Cc1nn(C)c(C)c1B([O][Na])[O][Na],B(C1=C(N(N=C1C)C)C)(O)O,135.4212625696191,197.9420000000001
144,Cc1cc(B([O][Na])[O][Na])n(C)n1,B(C1=CC(=NN1C)C)(O)O,145.74969717290895,183.91500000000005
145,Cn1c(C#N)ccc1B([O][Na])[O][Na],B(C1=CC=C(N1C)C#N)(O)O,138.237097393407,193.91000000000005
146,CC(C)(C)CB([O][Na])[O][Na],B(CC(C)(C)C)(O)O,167.60490677693497,159.93300000000008
147,Cc1cccc(B([O][Na])[O][Na])c1F,B(C1=C(C(=CC=C1)C)F)(O)O,135.4411057159234,197.91300000000004
148,Cc1cccnc1B([O][Na])[O][Na],B(C1=C(C=CC=N1)C)(O)O,148.16984901722697,180.9110000000001
149,O=c1ncc(B([O][Na])[O][Na])c[nH]1,B(C1=CNC(=O)N=C1)(O)O,145.78457481362236,183.871
150,COCCCB([O][Na])[O][Na],B(CCCOC)(O)O,165.56348201448716,161.9050000000001
151,Cc1cc(F)cc(B([O][Na])[O][Na])c1,B(C1=CC(=CC(=C1)F)C)(O)O,135.4411057159234,197.91300000000004
152,CCc1ccc(B([O][Na])[O][Na])s1,B(C1=CC=C(S1)CC)(O)O,134.04185217225583,199.97900000000007
153,Cc1ncccc1B([O][Na])[O][Na],B(C1=C(N=CC=C1)C)(O)O,148.169849017227,180.91100000000003
154,Cc1[nH]ncc1B([O][Na])[O][Na],B(C1=C(NN=C1)C)(O)O,157.7836901697327,169.88800000000003
155,Cc1cc(B([O][Na])[O][Na])cc(C)n1,B(C1=CC(=NC(=C1)C)C)(O)O,137.50810799103073,194.93800000000005
156,O=c1cc(B([O][Na])[O][Na])cc[nH]1,B(C1=CC(=O)NC=C1)(O)O,146.57215572554887,182.883
157,COc1cc(B([O][Na])[O][Na])ccn1,B(C1=CC(=NC=C1)OC)(O)O,136.1310017548908,196.91000000000005
