cluster,idx,canonicalsmiles
12,95,[Na]OB(O[Na])c1cccc(B(O[Na])O[Na])c1B(O[Na])O[Na]
12,156,O=C(O[Na])c1cc(B(O[Na])O[Na])cc(B(O[Na])O[Na])c1F
12,160,O=C(O[Na])c1cc(B(O[Na])O[Na])c(F)c(B(O[Na])O[Na])c1
12,224,O=C(O[Na])C12B3B4B5B6B4B6B4B(B53)B1C42C(=O)O[Na]
12,232,O=C(O[Na])c1cc(B(O[Na])O[Na])cc(B(O[Na])O[Na])c1
12,263,O=C(O[Na])c1cc(B(O[Na])O[Na])cc(C(=O)O[Na])n1
12,289,O=C(CB(CC(=O)O[Na])CC(=O)O[Na])O[Na]
12,350,[Na]OB(O[Na])c1cc(O[Na])c(B(O[Na])O[Na])cc1O[Na]
12,387,N#Cc1cc(B(O[Na])O[Na])cc(B(O[Na])O[Na])c1
12,405,[Na]OB(O[Na])c1cc(O[Na])cc(B(O[Na])O[Na])c1
12,434,O=C(Cc1cc(B(O[Na])O[Na])ccc1B(O[Na])O[Na])O[Na]
12,435,O=C(O[Na])c1cccc(B(O[Na])O[Na])c1B(O[Na])O[Na]
12,454,Cc1ccc(C(=O)O[Na])c(B(O[Na])O[Na])c1B(O[Na])O[Na]
12,470,COc1c(O[Na])c(O[Na])c(O[Na])c(OC)c1B(O[Na])O[Na]
12,472,[Na]OB(O[Na])c1c(O[Na])c(O[Na])c(Br)c(O[Na])c1O[Na]
12,483,[Na]OB(O[Na])c1c(O[Na])c(O[Na])c(O[Na])c(O[Na])c1O[Na]
12,488,CC1(C)OB(c2c(O[Na])c(O[Na])c(O[Na])c(O[Na])c2O[Na])OC1(C)C
12,522,Cc1c(B(O[Na])O[Na])c(C)c(B(O[Na])O[Na])c(C)c1B(O[Na])O[Na]
12,524,O=C(O[Na])C12BBBBBBBBC(C(=O)O[Na])(B1)B2
12,530,C=CCB1OC(C(=O)O[Na])C(C(=O)O[Na])O1
12,557,O=C(O[Na])c1cc(B(O[Na])O[Na])c(C(=O)O[Na])s1
12,583,O=C(O[Na])c1cc(B(O[Na])O[Na])c(C(=O)O[Na])cc1B(O[Na])O[Na]
12,585,COc1ccc(/C=C/B(O[Na])O[Na])cc1O[Na]
12,600,[Na]OB(O[Na])c1c(O[Na])ccc2c1OCO2
12,636,Cc1cbcc(O[Na])c1
12,668,O=Cc1cc(C(=O)O[Na])ccc1B(O[Na])O[Na]
12,743,Fc1ccc(OB(O[Na])O[Na])c(O[Na])c1
12,785,O=C(O[Na])OB(O[Na])O[Na]
12,793,O=C(OB(O[Na])O[Na])c1ccccc1O[Na]
12,807,[Na]Oc1c(O[Na])c2c3c(c1O[Na])OB(O2)O3
12,838,O=C(O[Na])c1sccc1OB(O[Na])O[Na]
12,842,[Na]Oc1ccccc1OB(Oc1ccccc1O[Na])Oc1ccccc1O[Na]
14,0,C/C=C/B(O[Na])O[Na]
14,24,C/C=C/B(O[Na])O[Na]
14,25,C=C(C)B(O[Na])O[Na]
14,40,C=CB(O[Na])O[Na]
14,42,C/C=C\B(O[Na])O[Na]
14,86,C=CCB(O[Na])O[Na]
14,89,C=C=CB(O[Na])O[Na]
14,94,O=CCB(O[Na])O[Na]
14,201,FC=CB(O[Na])O[Na]
14,227,CC=CB(O[Na])O[Na]
14,256,O=CB(O[Na])O[Na]
14,260,O=C(O[Na])B(O[Na])O[Na]
14,449,CC(=O)B(O[Na])O[Na]
14,455,[Na]OB(O[Na])C1=CC1
14,480,Cc1bc(O[Na])c(O[Na])cc1
14,491,[Na]Oc1cbcc(O[Na])c1
14,531,Cc1bcccc1O[Na]
14,675,CCOB(O[Na])O[Na]
14,718,[Na]OB(O[Na])c1ccccc1B(O[Na])O[Na]
14,755,[Na]OB(O[Na])OCC(COB(O[Na])O[Na])OB(O[Na])O[Na]
