Molecule,Cluster,data,Cluster_center,Distance_to_center
2168,3,[-9.2999655552031643e-02  2.3315042303495659e-01  1.0495457459357674e-01 -3.5754312326491150e-01 -1.1063647917866658e-01 -2.4069253844340757e-01  3.0311777695885550e-01 -2.2613883523176986e-04 -2.4222880462319421e-02],[-0.2421823645266461  0.5043608494031737  0.2754571075801968 -0.216909549615682  -0.1268425622910102  0.0667499190631451 -0.0773672155731852 -0.0483211591401656  0.0541040721723134],0.6266259375870273
2169,1,[ 0.2606479117419102 -0.426996222883597  -0.5450388645481742  0.0773193918172877 -0.2498095941088871 -0.1831904970161969  0.141572270398512   0.2266790544358551  0.093957800740111 ],[ 0.4678263661925846 -0.2295474939608273 -0.2617723412107961  0.1050343327743369  0.0161616480675178  0.0344890322665333 -0.0905004460631204 -0.0561098648247797 -0.0169458643663869],0.653581650895915
2170,10,[ 0.3079597543328729 -0.0131311039040189 -0.0092853658359266  0.217601471737968  -0.2317448855974903 -0.1340024036314127  0.060519065303758   0.0082843428278741  0.0683541846645544],[ 0.017465098056698  -0.1331099329204599 -0.0250639625478628  0.1154856288383475 -0.3259263563891393 -0.0623994902111426  0.1245963648988318 -0.0906421109622006  0.0349396171174329],0.3721084220767571
2171,2,[-0.9307813619979126  0.122024505835976  -0.3631841079103164  0.3157103191732905  0.3713178546410048 -0.0942789773158276  0.1698785328610525  0.0208730282837521 -0.030571736315945 ],[-0.8109856150954514  0.2324410270726651 -0.2976379076905399  0.5528323015757606  0.2589485425843574  0.0079074645149122  0.0788685230507611 -0.0084017742101694 -0.0022360100509027],0.3465222194253426
2172,9,[-0.2747451057576893 -0.3182549349603432 -0.1557673965341775 -0.3370950433332824  0.0559977581217058  0.1514395173852706 -0.1057608008414226  0.1974542961391942 -0.1325606508889157],[-0.4698656252987644 -0.0107472774944682  0.0566194515372587 -0.3509161971658883 -0.0522437857389853 -0.0382619177426513 -0.1088358436974318  0.0407762039243031 -0.0230874618265789],0.5120321278710881
2173,9,[-0.384192975181654   0.016363604697291  -0.3256344389702091 -0.5563339653518412  0.025548160968878   0.0930798656175366 -0.1240701397972356  0.2133183955398543 -0.0726253367502652],[-0.4698656252987644 -0.0107472774944682  0.0566194515372587 -0.3509161971658883 -0.0522437857389853 -0.0382619177426513 -0.1088358436974318  0.0407762039243031 -0.0230874618265789],0.5021438468724274
2174,7,[ 0.4289991321993304 -0.1724081303139007 -0.4340005712558628 -0.1984041549971541  0.1189698824276015 -0.0854383709668833  0.0425121244580725  0.0938409318787924 -0.0871456505568007],[ 0.2554365028779266  0.1321868948974623 -0.4470945829297879 -0.2684044825366035 -0.0367660445505471 -0.0123786254412718  0.0465250080439559  0.0585309585419557 -0.0136814019089044],0.40524673142043877
2175,7,[ 0.6271629828350854  0.3838816508369887 -0.2617670092723388  0.0118369947077864  0.0407161583633837 -0.1629571085529453 -0.0877452749700171  0.1482712700344039  0.0846616463217527],[ 0.2554365028779266  0.1321868948974623 -0.4470945829297879 -0.2684044825366035 -0.0367660445505471 -0.0123786254412718  0.0465250080439559  0.0585309585419557 -0.0136814019089044],0.6155022177717903
2176,9,[-0.3066668020608055  0.0726633620105843  0.1053755528474094 -0.6087918257466548  0.275378449293151   0.0354218038104765 -0.0968027749366596  0.1283826130002664 -0.0479503970284493],[-0.4698656252987644 -0.0107472774944682  0.0566194515372587 -0.3509161971658883 -0.0522437857389853 -0.0382619177426513 -0.1088358436974318  0.0407762039243031 -0.0230874618265789],0.4729393733143791
2177,0,[-0.2030965066912932 -0.2352684286456104  0.3509074407661418 -0.6496961358282067  0.5783414915197121 -0.1654314470900529 -0.0717446342793046  0.0928257133062731 -0.0282095612876166],[ 0.2375768505373571 -0.1545492062714881  0.063371252230152  -0.2856063441868819  0.2272977626342499 -0.0150944172334486  0.1271644770746047 -0.0965084445384889  0.0142098375542327],0.7993695154104181
