Molecule,Cluster,data,Cluster_center,Distance_to_center,canonicalsmiles,scscore,spacial_score,capacity
78,6,[ 0.7559720163988632  0.0768353099012841  0.01333132717271    0.3115246871976409  0.1270015573065577 -0.2328170075365467 -0.2285640186169154 -0.0387815160976217  0.0306443857993434],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.3875544053899998,[Na][O]B([O][Na])C1CCCC1,1.71399801720613,200.0,169.74458453209942
84,6,[ 0.5156220216985076  0.3905615394543209  0.3334970119285199  0.3660934204128378 -0.1387460881623239 -0.3254607491719295 -0.0279937591346656  0.0076854808962431  0.0558802068667744],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.4393632998320694,CC(C)=CB([O][Na])[O][Na],1.7176153857716852,82.0,186.2919977451911
88,6,[ 0.494561967787888   0.1490603273339348  0.1605007908382931  0.3392686193680524 -0.1043282579353371 -0.1641840533515666 -0.0982739439810809 -0.0617459396654234  0.0198507733340434],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.3104131593954785,[Na][O]B([O][Na])C1=CCCC1,1.901008731496918,174.0,171.93959984577103
92,6,[ 1.009764918740545  -0.1160768691064242  0.2967165115098295  0.5829861829411386  0.1824293922999347  0.0232820089077253 -0.1688708952101092 -0.0260541929593551 -0.1822108751229649],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.6317697869215434,CC(C)(C)B([O][Na])[O][Na],2.033085438651422,107.0,183.71797976474951
94,6,[ 0.5427526517431527  0.4662899851317123  0.6066406102385629  0.5017946667899713 -0.1820382403439222 -0.3760202011464501  0.0313950760415096  0.0381130320368463  0.0030722834495079],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.6588141924605652,C/C=C/B([O][Na])[O][Na],1.8093620271341537,85.0,206.41410991241196
95,6,[ 0.6822073740066228  0.2283517706186819  0.6033928699346024  0.6028716779942136 -0.1813044887439151  0.2254398454841771  0.079875711009768   0.0086459504135047 -0.3655835668598212],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.757429433259014,C=C(C)B([O][Na])[O][Na],1.7711121785075563,73.0,206.41410991241196
99,6,[ 0.4133247825438189  0.3529546026884542 -0.0843972469062777  0.1129764413383823 -0.19131038157567   -0.3118046217303521  0.0707116472028569  0.1836724240499355 -0.0087877317502599],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.6061260225165143,C=CCCCB([O][Na])[O][Na],1.681435147539527,96.0,169.74458453209942
100,6,[ 1.011484559219175  -0.1370654478654592  0.2404215320153518  0.5451807596189702  0.1512623199894737  0.048677527847064  -0.0737499826624445  0.1132296712711925 -0.2035860989378865],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.611844119788323,CCC(C)B([O][Na])[O][Na],1.7171097407854685,122.0,183.71797976474951
101,6,[ 0.510474285821133   0.1018224414788023  0.1207781997654579  0.338543339711842  -0.1486245647072161  0.0115999058666119 -0.003744564568598   0.0103847865983179  0.0542849867960588],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.3521344971977587,CC(C)=C(C)B([O][Na])[O][Na],1.8071630237399035,95.0,169.74458453209942
106,6,[ 0.5281061473337871  0.3228080760306159  0.273244265939791   0.3469736867465873 -0.1646449648040907 -0.3480477329716323  0.0628178448456759  0.1380745928399778 -0.0458027014856805],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.4224564273616414,C=CCCB([O][Na])[O][Na],1.7142649491967732,84.0,186.2919977451911
