Molecule,Cluster,data,Cluster_center,Distance_to_center,canonicalsmiles,scscore,spacial_score,capacity
518,6,[ 0.884515430778971   0.0136773067880904  0.2112085961849981  0.4021840760922333  0.1751136737528972  0.0106036038153144 -0.1466299296926162  0.042800358442134   0.0090355602576817],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.3812415996667096,F[C@@H]1C[C@H]1B([O][Na])[O][Na],2.3533323271638924,293.0,181.29869231977406
527,6,[ 0.2702496601189152  0.1687037463642554  0.3549432130303493  0.4213381023608349 -0.3125144044618842 -0.1397582060559898  0.0089520724596858 -0.1195901950021994 -0.0753896332373752],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.6043244492643248,[Na][O]B([O][Na])C1=CC=CC1,2.217865192769338,158.0,174.19212759889237
528,6,[ 0.5534527774379099  0.4421659820521655  0.6084067002006206  0.5125453860543545 -0.1818553053675112 -0.3374972453327717  0.0358700074404375  0.0372756011262509 -0.0233438521466783],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.6368831834135252,CC=CB([O][Na])[O][Na],1.7677034870495314,69.0,206.41410991241196
543,6,[ 0.3356899623128171  0.2285885349412971  0.1370316661212614 -0.013406186842559  -0.066748698583464   0.0037604935233488  0.1649436377854787  0.07395369627947   -0.1021744783826978],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.5154819792033557,COCC=CB([O][Na])[O][Na],1.9660007944745739,93.0,167.65103012437092
545,6,[ 0.3463705754341271  0.1334177647287738  0.1667649926127968  0.0341809045216724 -0.0706860784041037  0.0004084421984863  0.1864219142150747  0.0971567989251161 -0.0681977941304504],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.477029908446597,COC/C=C/B([O][Na])[O][Na],1.8319796906706816,109.0,167.65103012437092
551,6,[ 0.6943959629512941 -0.155296033947821   0.5390657629424225  0.688551036946581  -0.1184760869161927  0.0057149323184776  0.0597441443510673  0.0497609883091247 -0.0692963399928155],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.6504589457339969,C/C=C(/C)B([O][Na])[O][Na],1.852179341066599,108.0,186.2919977451911
552,6,[ 0.350964931297925   0.0179922970887243  0.4163299342485327  0.5232523458010098 -0.2878808756180649 -0.0335972837852712  0.0039188063648225 -0.1565674856676384 -0.2525388385029477],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.663481425954882,[Na][O]B([O][Na])C1C=CC=C1,1.7850439524530248,168.0,174.19212759889237
553,6,[ 0.6647136991729363  0.2560260417692594 -0.2226803202663022  0.0316144318800355  0.0583159309356272 -0.1530413805629394 -0.0438858223790296  0.1694399308338468  0.0011513413770187],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.5567465939294582,[Na][O]B(CCCCl)[O][Na],1.7027134531750374,89.0,161.16468793172086
558,6,[ 0.9443182682014858 -0.0960954524345907  0.3047152712221682  0.4896892657263439  0.1766535622547815 -0.0687800390981096 -0.0799299556138401  0.0976436341834787  0.0374397741320705],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.4761311951787091,CC(Cl)B([O][Na])[O][Na],1.6333275197589756,110.0,176.00842797662168
562,6,[ 0.791840891866316  -0.0479920393978047 -0.054209706367882   0.3120763540784887  0.0612744631654449  0.0899452651812492 -0.059829781954954   0.1199828748293218  0.0253769601723721],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.4628454711524266,CC(C)C(C)B([O][Na])[O][Na],1.6580501872823166,140.0,167.60490677693497
566,6,[ 1.0082080647216878 -0.1416809940751036  0.2490384425523872  0.5511440628235122  0.154476518136256  -0.0041865725088012 -0.0776630249282751  0.1132489795283929 -0.193187439389392 ],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.5993816449846826,CC[C@H](C)B([O][Na])[O][Na],1.6613498851322448,122.0,183.71797976474951
573,6,[ 0.6862521989640503  0.0142651841975605  0.1552147707585861  0.109797681078837   0.2942520574662212 -0.1740704473978858 -0.1365074592036416 -0.0582464224369846  0.0346194949617104],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.3561923460217635,[Na][O]B([O][Na])C1CCCO1,2.1744670427113926,254.0,167.65103012437095
575,6,[ 0.7314179845635332  0.5144663689697143  0.1291282625558914  0.2619689146133732 -0.023259382371741   0.0322409989613597 -0.0625891519912509  0.0787603106372937  0.0913170327790893],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.4655141128971298,CCB(CC)C(=O)[O][Na],1.739258099609882,80.0,197.19392029687387
577,6,[ 0.7503647357166031 -0.1287431290874487  0.2159380440653475  0.2055145874763503  0.3156017562637131 -0.1349351221061573 -0.1400772649278029 -0.0839795869244973 -0.0949672997874674],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.4275384990170853,[Na][O]B([O][Na])C1CCOC1,2.3712555603225898,254.0,167.65103012437095
605,6,[ 8.9303138895788636e-01  2.8039163485439489e-01  4.9095327029907720e-01  2.0990303312890865e-01  3.4641919412991717e-01 -3.5215123410852650e-01  7.2342188045538495e-04  1.8778394959489511e-01  1.3372603693519602e-01],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.5500347932653699,C[B]OB([O][Na])[O][Na],1.9068430915746517,73.0,205.19271529712756
609,6,[ 0.4386034772998524  0.3223267022738427 -0.0021682915812419  0.1825681918624183 -0.1626772356925688 -0.1857992560064498 -0.005497733202648   0.0510561062694057  0.0236126726709435],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.4605714556121207,CC/C=C(\C)B([O][Na])[O][Na],1.8455734012768237,120.0,169.74458453209942
619,6,[ 0.3432724250136762  0.3673707405933408  0.4970626967103419  0.160798032865795  -0.0931050175981736 -0.2247217862181374  0.1553877615787395  0.0326920133834013  0.0464014379990954],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.5296849686068392,C=C(OC)B([O][Na])[O][Na],1.8138352595057432,81.0,183.77339920990764
625,6,[ 0.363315218932077   0.1057050457122862  0.5601792674821997 -0.0337728798784246  0.2093646252978364 -0.171473318845076   0.1628967886541116 -0.1161894075029787 -0.0977693082285884],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.5801898550024072,CC(N=CB=O)C(=O)[O][Na],2.2068096671732773,111.0,180.03596988082177
632,6,[ 0.7586573297322219  0.0126946422400849  0.5145159455443308  0.0485199551189197  0.4962584237125192 -0.1732615549340183 -0.0346039453069166 -0.0306600667447822  0.0671603137464841],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.5721468550020772,[Na][O]B([O][Na])C1COO1,1.8832701652962134,230.0,181.32199328676458
633,6,[ 0.7444220613059027  0.0459217607893842 -0.0152582326549062  0.1726387915614978  0.1428831970410045 -0.0576155056143026 -0.1200813364875975 -0.0105674931758017 -0.0454172635683056],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.3521175469181049,[Na][O]B(CBr)[O][Na],1.651660765166716,65.0,146.70210624698612
634,6,[ 0.6719778552583371  0.1186364562029573 -0.0557894224067252 -0.0024622349626465  0.1674968542475664 -0.1256181283680059  0.0225673852705782  0.1752675278791552  0.0276363316880272],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.4370526152993726,CSCCB([O][Na])[O][Na],1.6640239421986498,89.0,163.50234562328782
655,6,[ 0.4918125307478136  0.1687203665315523  0.0270601422378196  0.2516728472978673 -0.162245527869063  -0.1398127378388514  0.0472364704063503  0.1086570607300283 -0.0761200642546574],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.3817720874662897,CCC/C=C\B([O][Na])[O][Na],1.7326599376850105,109.0,169.74458453209942
688,6,[ 1.0098947297956502  0.4043926367975258  0.3814059705126444  0.4478730013073146  0.2006924680198364 -0.219233643347649  -0.1043966752243556  0.202118519613043   0.0694608015857832],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.5660140732286977,[2H]C([2H])([2H])C([2H])([2H])B([O][Na])[O][Na],2.3917663797940496,166.0,218.1397157145524
689,6,[ 0.9017123963676381  0.1550582213884542  0.2322663444667158  0.4378095264284566  0.1863679074730678 -0.4311816411599564 -0.1206808257896179  0.1613316009812611 -0.0098697567686679],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.4790234713638382,[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])B([O][Na])[O][Na],2.28627380913286,222.0,192.95439916186675
718,6,[ 0.4508624044879976 -0.1269752616354193  0.4421580947795061  0.3086915361911383  0.0258061904998623 -0.0802624839206502  0.0267009030152957 -0.1126461652257362 -0.0957514215110623],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.4295801381077958,[Na][O]B([O][Na])C1=CCCO1,2.2183492857042424,166.0,169.7918932024827
721,6,[ 0.7590875565212033  0.2802746045400833  0.2173997399196262  0.0030959832291982  0.3157230511090116 -0.1378475911567638  0.0072938794145171  0.0918393161217057 -0.0127897738386161],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.3933462432875884,N#CCCB([O][Na])[O][Na],1.4605029717198197,79.0,187.6325093835698
729,6,[ 0.5283380422529318  0.301900110291595   0.3458460913140072  0.3979037374423451 -0.1417046084245404 -0.4317341311402669  0.0154591170553807  0.0765959025691247  0.0313517544171347],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.4629823415193699,CCC=CB([O][Na])[O][Na],1.9843979054614096,81.0,186.2919977451911
738,6,[ 0.6705656819964306 -0.1073890991248118  0.5059288563293237  0.6490313884219265 -0.1320100525004123  0.0264709522808343  0.0671621148576102  0.0629250861536556 -0.0252865864406389],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.596095393527904,CC=C(C)B([O][Na])[O][Na],1.9746837245641382,82.0,186.2919977451911
753,6,[ 0.4542329147133958  0.2191970979022554  0.0364934430871669 -0.094069912403945   0.0898700241646163 -0.124062339266735   0.1056787065244058  0.1007476591454043 -0.0347529634855378],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.4776277703504973,CC(=O)CCB([O][Na])[O][Na],2.0603306911268264,97.0,167.65103012437092
769,6,[ 0.4037509750086589  0.1037895095494719 -0.0450797552901244  0.2513873937370916 -0.2018234215689888 -0.3361136422270157  0.0270354708315368  0.052863130173644  -0.0340056195714118],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.524164169992937,C=CB(CCCC)C(=O)[O][Na],2.0412010218648264,99.0,165.49397464735196
775,6,[ 0.9257419949919301  0.1984683034500057  0.5226400745807616  0.2828176831247884  0.3622509431338976 -0.4275978799173785 -0.0300415379136965  0.1473928353129958  0.0438439872477575],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.581067024737214,COCB([O][Na])[O][Na],1.7645538957999047,77.0,200.26414113869563
776,6,[ 0.5864092660545496  0.1836880873865406  0.35443832419562    0.4512016112235904 -0.1431743524900359 -0.188342916039017   0.0418906151414283  0.0734629450513737 -0.0963093563197034],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.3414709526389093,CC/C=C\B([O][Na])[O][Na],1.7359755206416643,97.0,186.2919977451911
777,6,[ 0.7889695564363268  0.1894981354326416  0.2829124232779912  0.1562408807794987  0.2956982751979634 -0.3586597915749228 -0.0532169194144944  0.1156985990669248  0.066446347362195 ],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.3834234412431462,CN(C)CB([O][Na])[O][Na],1.6048229080904615,95.0,182.48230394403816
778,6,[ 0.5677254557639568 -0.0515874760312741  0.1792059071931182  0.4163706995298898 -0.1136154279077844  0.0745661564901032 -0.0151831836212702  0.0143307974523025 -0.1091582475018   ],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.4034407669689844,C=C(B([O][Na])[O][Na])C1CC1,2.5492443011413815,172.0,171.93959984577103
797,6,[ 0.8517867168177966 -0.157814330093007   0.0606938683854602  0.425472280801276   0.1255795209975348  0.1548842533967714 -0.171764221199459  -0.0234658386217317 -0.1098527030668181],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.5663883529745461,CC1CCC1B([O][Na])[O][Na],2.424298663885393,317.0,169.74458453209942
800,6,[ 0.3003880382876242 -0.0868779917467704  0.5441748913621555  0.3260183063011509 -0.1028079615494575 -0.0211166316200892  0.1025407233319291 -0.1437163502732713 -0.1730212552650287],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.6130926108797248,[Na][O]B([O][Na])C1=NCC=C1,2.5235802417764583,158.0,173.08088275913525
811,6,[ 0.7136212747335101  0.2932378125964921  0.0617879357879091  0.2792083424220945  0.0386078184009533  0.4008135885114891 -0.2097874937902476 -0.1675923327666463 -0.0947103493847425],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.6637960357972575,CC1(C(=O)[O][Na])C[B]CC1,2.6048653748875985,315.0,182.42766034351592
823,6,[ 0.3143424162294609 -0.0920086830466509  0.5591532937753894  0.3399156591318482 -0.0893857591777921 -0.0539861517041558  0.0857552010331624 -0.1662206382719975 -0.227925053273927 ],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.6282197200663016,[Na][O]B([O][Na])C1=CCN=C1,2.366932282053665,158.0,173.08088275913525
825,6,[ 0.334599302452053  -0.1230038402774056  0.5302848289089631  0.3378800926178526 -0.0943275756504471  0.0812180903914678  0.0972856713767854 -0.1716148562164592 -0.3295064367508453],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.6907623906229168,[Na][O]B([O][Na])C1=CC=NC1,2.566398680765185,158.0,173.08088275913525
827,6,[ 0.4994408356913494  0.1058711726457881  0.0633429317783899  0.2964862832273776 -0.1724970568358762  0.0377160786148397  0.0506910310098955  0.0885940914670178  0.0363072371793823],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.4014122564700466,C/C=C(\CC)B([O][Na])[O][Na],1.9297162988910839,120.0,169.74458453209942
831,6,[ 3.4162444980122136e-01 -8.0356004780723859e-05  4.2336001823130220e-01  5.2852448661286155e-01 -2.8882127365557014e-01 -8.3203560526250359e-02  1.0543318683184059e-02 -1.4261047537226224e-01 -2.1816416486358917e-01],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.6552758145480835,[Na][O]B([O][Na])C1=CCC=C1,2.3255002439510557,158.0,174.19212759889237
841,6,[ 0.7970101855182831  0.3254431385511378  0.1431692532969983  0.2882321502718905  0.1517668902535677 -0.3701544934231745 -0.1810580947412599  0.0482475689191498  0.1622917562747271],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.4452883139328943,CCC#CB([O][Na])[O][Na],1.8335741407836155,73.0,188.93916824474923
842,6,[ 0.5756365775432649  0.2168919022298494  0.432023283189761   0.1515101014403651  0.1336735997175603 -0.219569675003466   0.0812839192185173  0.0551000637393909  0.0291581431322684],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.2718807425957119,CC(=O)CB([O][Na])[O][Na],1.697881320074829,85.0,183.77339920990764
847,6,[ 1.0161272860158252  0.240481847829517   0.4020778282584708  0.4435275760268427  0.2216855283593704 -0.1533086736095634 -0.1105643658452026  0.1248061250732058 -0.0381151665837015],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.4921291076749703,[Na][O]B(CP)[O][Na],1.6624917159920587,65.0,197.37977832921388
850,6,[ 0.2121798983122994  0.1475966258517014  0.5414458907976931  0.2432132874967119 -0.0971012408616386 -0.455318889936317   0.0378094103944901 -0.1622356097005881  0.0435487453095767],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.6768190679541557,[Na][O]B([O][Na])C1=CCC=N1,2.0141972087378917,158.0,173.08088275913525
852,6,[ 0.2231201336630293  0.1581190797769764  0.7827174882990816  0.338548784833505  -0.2065850776756264 -0.2052901931465537  0.2634147294411873 -0.0443318151237236 -0.1697177897980202],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.8099947369344536,O=C/C=C\B([O][Na])[O][Na],2.1877851917103346,92.0,186.3489812407405
858,6,[0.8571443141167697 0.0650789853406529 0.3324178858233602 0.1411670337814521 0.3149047057682852 0.2810468449138835 0.031203451364157  0.0635109300405234 0.0101469847063246],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.5421419379648953,[B]CP(=O)([O][Na])[O][Na],2.020846501035675,96.0,357.9084792783971
865,6,[ 0.8833384886921875  0.1532990580401326  0.1739921309026268  0.3397848384016666  0.1541716714569066 -0.2995342551171118 -0.0561013039421047  0.2084235545390142 -0.0160327265697815],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.365970471799188,[B]CCCB([O][Na])[O][Na],2.116624634107902,88.0,189.19387333381948
869,6,[ 0.6030851184746906  0.2410194602529611 -0.0986388833109763 -0.1024449271608372  0.1925437175562494 -0.2105107503639393  0.00201035390262    0.162329998267848   0.0425968071206172],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.5488957520228608,CN(C)CCB([O][Na])[O][Na],2.051610723033136,107.0,166.57586987127561
870,6,[ 0.6642359513721348  0.1192967030062522 -0.0434459651890057 -0.0237054758957885  0.2084895455773594 -0.0797763342144699  0.0087970177893723  0.1440269061985347 -0.0548396601735609],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.4438301811148194,CCN(C)CB([O][Na])[O][Na],1.949852000895405,107.0,166.57586987127561
873,6,[ 1.0789331822754955  0.5159641627166938  0.4633168685559951  0.4087954111425693  0.2073585846959251  0.110326831433226  -0.0566763583449757  0.2336410712261929  0.0832702245744049],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.7190306220596984,[B]CB([O][Na])[O][Na],1.6165662720485,64.0,235.90417547946
884,6,[ 1.1511576539512063  0.3562205824793929  0.4784061227234382  0.5185936573295591  0.1926554194374497  0.2830785231506861 -0.046268960483883   0.2152646492481312 -0.0281560648350743],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.7958824172957774,[CH]CB([O][Na])[O][Na],1.4427832041670599,65.0,231.40954069162922
891,6,[ 0.4873730786083665 -0.1325264701797793  0.4120195067049702  0.3045083801623872  0.0312120274869641  0.0759460569522391  0.0174695307958569 -0.1498063125492605 -0.2726340816279419],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.5229199672603314,[Na][O]B([O][Na])C1C=COC1,1.801976541760557,230.0,169.7918932024827
897,6,[ 0.4710581216761305  0.2363699383874485  0.0323448314300152 -0.0496495093152385  0.1736179072130406  0.2075691694259885 -0.1541671358388676 -0.2283025603097324  0.0527825235430202],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.6372191167253186,[B][C@H]1CC(C)[C@@H](C(=O)[O][Na])O1,2.4241615100376723,409.0,165.53894333662004
900,6,[ 0.9029171642432362  0.2446536157202219  0.5109812562333957  0.2303944974715822  0.3655388042987511 -0.4088099973737081 -0.015909323604099   0.1675657857776955  0.0690375917769397],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.5703976976902128,CBOB([O][Na])[O][Na],1.7654548052541865,73.0,203.62155172704837
909,6,[ 0.7872695052296858  0.1693131705082846  0.2012568694163885  0.0903566309064979  0.2700483066793326 -0.1659532002881142  0.0268004089317387  0.1758931947485229 -0.0016316198236364],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.3257264557845151,COCCB([O][Na])[O][Na],1.6333105535084511,89.0,181.26804227508856
913,6,[ 0.8509081530083584  0.2428564145115197  0.1538638844219886  0.3213490234521096  0.148213094204041  -0.3444035415576538 -0.1104514563478263  0.1461785551858608  0.0553898298951197],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.3810000380142814,C#CCCB([O][Na])[O][Na],1.713368934673456,79.0,188.93916824474923
914,6,[ 0.8373650714733918  0.3117922356928509  0.1078346187610954  0.2760604462461644  0.1348687538564175 -0.1258104885578455 -0.129283201791026   0.0970657142500951  0.0654678491525494],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.3410647860185176,CC#CCB([O][Na])[O][Na],1.8034214531207775,73.0,188.93916824474923
925,6,[ 0.879102705927909   0.1515446965662449  0.2289622306416179  0.4178352072689933  0.1810741766982693 -0.3080636807701787 -0.2178669990915082  0.0146661905743632  0.0304409715887754],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.4154030393752176,CC1CC1B([O][Na])[O][Na],1.8696636998443101,293.0,186.2919977451911
931,6,[ 0.2960501681582457 -0.0062458073244053  0.1546307340732352  0.074156784698368   0.0397900900064538 -0.3282774985630832 -0.0542661040261252 -0.1551917452081872  0.0525586244343514],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.5255581965331192,[Na][O]B([O][Na])C1=CCCOC1,2.2550911016386657,198.0,155.93691422661752
942,6,[ 0.2873433850494884  0.0275473430858836  0.1186943977747814  0.0509351734098298  0.0231761756106333 -0.2984213652932305 -0.0501391134725811 -0.1514616814850127  0.0601242562969217],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.5300348134236889,[Na][O]B([O][Na])C1=CCCCO1,2.341672395753335,190.0,155.93691422661752
