Molecule,Cluster,data,Cluster_center,Distance_to_center
273,1,[-0.0425517117708873  0.1700208430654432 -0.1849391428871524 -0.1949138860076579  0.0124670554539965 -0.0614203399808163],[-0.0735234703452033  0.1664843382275226 -0.0080989859467115 -0.1728868384665272  0.0146801919011113 -0.0151728845848084],0.18674344360456854
274,15,[-0.1922370114416457 -0.0095387779716222 -0.0499474643725082  0.422175647724969   0.0512753945704947  0.0101526639880175],[-0.1067892020679116  0.1359224481374006 -0.0682940344861282  0.1532759836625887  0.0696906565038959 -0.0145188267480183],0.31945535951509596
275,1,[-0.0903614488430421  0.1138089787058546 -0.0162249171500018 -0.0794003818376704  0.0191392596076836  0.0165222411237532],[-0.0735234703452033  0.1664843382275226 -0.0080989859467115 -0.1728868384665272  0.0146801919011113 -0.0151728845848084],0.11352719335059644
276,16,[ 0.0732516497233699 -0.1344370344864744 -0.3162126840277376 -0.3709519910739618 -0.2817691447564481  0.0282781153883298],[-0.031372841610248  -0.066979692467591  -0.2199134346665653 -0.2325062230593571 -0.0836990635868458 -0.0213172459939686],0.29262435000000175
277,16,[ 0.0507777696238248  0.002131011383365  -0.191094103841467  -0.3193403904847774  0.0377022428370698 -0.0271101157311146],[-0.031372841610248  -0.066979692467591  -0.2199134346665653 -0.2325062230593571 -0.0836990635868458 -0.0213172459939686],0.1861923019778307
278,6,[-0.0753655686364552  0.4279198612174958  0.164455039694738   0.0968335388127597  0.0644162582001126  0.015410433711756 ],[-0.1579591347644964  0.470588189492842   0.2315980939013907  0.0097792103662727  0.0282743707026443  0.0012472085064281],0.14911660609443428
279,2,[-0.155836648825259  -0.1455623841141167 -0.1242105306802996  0.038557528012051  -0.0368301155999644  0.0547965677619938],[-0.1145527463774222 -0.1740365072493543 -0.2797990975404669  0.1450364432486706  0.0834525391726452  0.0264468685509433],0.23093791438764438
280,6,[-0.1073592828113655  0.4349249873440195 -0.0010292746641842  0.0380297565626558  0.1015477607529784 -0.0829394146801152],[-0.1579591347644964  0.470588189492842   0.2315980939013907  0.0097792103662727  0.0282743707026443  0.0012472085064281],0.2668373515539866
281,15,[-0.1462308740001768  0.1423824631797923 -0.1272195537818677  0.0575256012650421 -0.0092442970594962  0.0075987643363217],[-0.1067892020679116  0.1359224481374006 -0.0682940344861282  0.1532759836625887  0.0696906565038959 -0.0145188267480183],0.1447675535544422
282,1,[ 0.081753641602119   0.1849440309632283  0.0365082220875396 -0.373937608988389   0.107790636832155  -0.0059149080222514],[-0.0735234703452033  0.1664843382275226 -0.0080989859467115 -0.1728868384665272  0.0146801919011113 -0.0151728845848084],0.27498767640011246
283,15,[-0.106342469780379   0.1885696890418998  0.0091629536451772  0.2646159393254549  0.1323609426071794 -0.0483178199025864],[-0.1067892020679116  0.1359224481374006 -0.0682940344861282  0.1532759836625887  0.0696906565038959 -0.0145188267480183],0.16198160074682932
284,2,[-0.0424030003006686 -0.374784560610137  -0.3778720264658778  0.1490578436848805  0.0100397799033821  0.060291304803739 ],[-0.1145527463774222 -0.1740365072493543 -0.2797990975404669  0.1450364432486706  0.0834525391726452  0.0264468685509433],0.24834394883982386
285,16,[ 0.0710219983908925 -0.1740171570658182 -0.3533764481387493 -0.3172322789021672 -0.2736684765301501  0.0261981131529221],[-0.031372841610248  -0.066979692467591  -0.2199134346665653 -0.2325062230593571 -0.0836990635868458 -0.0213172459939686],0.29202515268228685
286,1,[-0.0594686406746685  0.2267605515040793  0.0662374054880784 -0.2319994008071701 -0.0094835990363413  0.0426554726506728],[-0.0735234703452033  0.1664843382275226 -0.0080989859467115 -0.1728868384665272  0.0146801919011113 -0.0151728845848084],0.12953363244761856
287,15,[-0.0208996393642664  0.2247486776076294 -0.0388653521067113  0.1426160418599714  0.1276485697081548 -0.0418068690543307],[-0.1067892020679116  0.1359224481374006 -0.0682940344861282  0.1532759836625887  0.0696906565038959 -0.0145188267480183],0.14265537033371173
288,2,[-0.0896403075715304 -0.4047413419972916 -0.0458300892920919  0.0738492114311338  0.2381161408216751  0.0005826218600039],[-0.1145527463774222 -0.1740365072493543 -0.2797990975404669  0.1450364432486706  0.0834525391726452  0.0264468685509433],0.3718121274378255
289,12,[ 0.1418600132006536 -0.3998075782716855  0.21707967962137    0.4705208266989065 -0.1201811561978865  0.0293755601754165],[-0.3520400458329301 -0.2982399290985112  0.119502335432109   0.2862023044405847 -0.1116638423145351  0.0007553115384552],0.5464792536650339
290,8,[ 0.5400522826536456 -0.6975781551805829  0.3499802008634358 -0.3474421977325247  0.1062293026358618 -0.0746921560343761],[ 0.4393423178376795 -0.5037633302329061  0.3021558605771394 -0.1892323453636002  0.0030849113807262  0.0256666972870739],0.3094105253228094
291,16,[-0.1747519433846582 -0.0813428164633139  0.0274864900551092 -0.3819642999019275 -0.0698616119383329 -0.0832875574534206],[-0.031372841610248  -0.066979692467591  -0.2199134346665653 -0.2325062230593571 -0.0836990635868458 -0.0213172459939686],0.32915057376955836
292,6,[-0.0974639832372171  0.6127750446327992  0.3383567476261244  0.0466765195718858  0.0902230832862481 -0.0056402801195895],[-0.1579591347644964  0.470588189492842   0.2315980939013907  0.0097792103662727  0.0282743707026443  0.0012472085064281],0.20129745948464262
293,10,[ 0.282458102001178  -0.0322732236888885  1.0368218377035057  0.1311403060049337  0.2316208784193291 -0.2104771836520185],[ 0.4446541621255925 -0.0019590057539666  0.7084606338538603  0.0384392431242359  0.1162524540500033 -0.0383529401014108],0.4319464197571474
294,10,[ 0.2495914682172904  0.2235526926476776  1.2089263218291733  0.0597161017166844  0.3538943871883372 -0.2918629283205053],[ 0.4446541621255925 -0.0019590057539666  0.7084606338538603  0.0384392431242359  0.1162524540500033 -0.0383529401014108],0.6786490939620374
295,2,[-0.1650324367018088 -0.2456454825637228 -0.194995047399248   0.1381352569459963 -0.0200645494849994  0.0493563303458979],[-0.1145527463774222 -0.1740365072493543 -0.2797990975404669  0.1450364432486706  0.0834525391726452  0.0264468685509433],0.16172825621222642
296,2,[-0.1722851987854899 -0.2072325716766591 -0.1936842411159111  0.3711071661178647  0.0285554200752166  0.0326876508158569],[-0.1145527463774222 -0.1740365072493543 -0.2797990975404669  0.1450364432486706  0.0834525391726452  0.0264468685509433],0.2569268301260277
297,15,[-0.2382104484106086  0.3539097343741286 -0.0784954343894885  0.0268485721472311  0.1247767299949716  0.1199587915071221],[-0.1067892020679116  0.1359224481374006 -0.0682940344861282  0.1532759836625887  0.0696906565038959 -0.0145188267480183],0.3193691675754289
298,15,[-0.2782915342564184  0.3973620042211794 -0.1569872783529169 -0.0242318079899756  0.3238911415218668  0.0686556183392853],[-0.1067892020679116  0.1359224481374006 -0.0682940344861282  0.1532759836625887  0.0696906565038959 -0.0145188267480183],0.45680966926644256
299,2,[-0.3105906792016135 -0.1255044892718756 -0.5057157583591402  0.112111102143563   0.332188557711481   0.0586087051364249],[-0.1145527463774222 -0.1740365072493543 -0.2797990975404669  0.1450364432486706  0.0834525391726452  0.0264468685509433],0.3947310910587091
300,1,[-0.3024028526794266  0.2367867954034562 -0.221115982644462  -0.1723129991874015  0.2934742268948533  0.0625587221937045],[-0.0735234703452033  0.1664843382275226 -0.0080989859467115 -0.1728868384665272  0.0146801919011113 -0.0151728845848084],0.43182530490555837
301,16,[ 0.0819160630751837  0.0700018021066679 -0.1928235542949912 -0.2260018678707337 -0.2426319545809722  0.0160029829848528],[-0.031372841610248  -0.066979692467591  -0.2199134346665653 -0.2325062230593571 -0.0836990635868458 -0.0213172459939686],0.24295459939332506
