NumAtoms,NumHeavyAtoms,NumHeteroatoms,NumRotatableBonds,RingCount,NumAromaticRings,NumAromaticCarbocycles,NumHAcceptors,MolWt,HeavyAtomMolWt,TPSA,MolLogP,MolMR,Asphericity,Eccentricity,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex,FractionCSP2
17.0,17.0,9.0,5.0,1.0,1.0,1.0,5.0,261.913,255.865,53.99,-1.1691,63.2295,0.27740212,0.9311759,0.36457022,0.93518286,833.20374547,2137.30532316,2285.44107809,3.16761283,0.33559759,0.875
18.0,18.0,8.0,5.0,1.0,1.0,1.0,4.0,273.968,263.888,44.76,-0.5137,70.38,0.36804057,0.95458049,0.29795316,0.97245046,948.03626404,3094.17193034,3181.82988567,3.63099036,0.36638055,0.7
14.0,14.0,8.0,4.0,1.0,1.0,1.0,3.0,221.867,218.843,27.69,-0.8166,51.848,0.15430522,0.83572923,0.54914175,0.6093952,828.68053456,919.60580814,1509.04669018,2.7093788,0.1618032,1.0
14.0,14.0,8.0,4.0,1.0,1.0,1.0,3.0,221.867,218.843,27.69,-0.8166,51.848,0.30279579,0.93995474,0.34129912,0.91669784,637.5946871,1712.52029727,1868.1404288,3.08322404,0.3822842,1.0
7.0,7.0,5.0,3.0,0.0,0.0,0.0,2.0,115.836,112.812,18.46,-0.6,29.629,0.1491353,0.83755559,0.54635211,0.62613478,255.66806792,293.00274833,467.95475479,2.09480567,0.18110471,1.0
12.0,12.0,11.0,6.0,0.0,0.0,0.0,5.0,227.768,225.752,53.99,-1.3927,45.5835,0.15780675,0.87622093,0.48190962,0.87343329,721.67758155,1307.99883443,1497.53718482,2.78262401,0.50922881,0.0
8.0,8.0,5.0,3.0,0.0,0.0,0.0,2.0,129.863,124.823,18.46,-0.2099,34.246,0.16354185,0.86045881,0.50952001,0.65190533,323.81027411,414.2990218,635.52022783,2.29973129,0.51780755,0.66666667
17.0,17.0,8.0,5.0,1.0,1.0,1.0,4.0,257.925,251.877,44.76,-0.7781,66.388,0.75143103,0.99577468,0.09183018,0.97242466,427.29876889,4524.82880855,4653.14075366,4.31512155,0.08778034,1.0
15.0,15.0,9.0,4.0,1.0,1.0,0.0,5.0,232.875,229.851,57.65,-1.7827,54.4725,0.26694581,0.93005074,0.36743111,0.80215581,808.99589365,1766.15626921,2201.76212078,3.20256013,0.19593315,1.0
14.0,14.0,7.0,4.0,1.0,1.0,1.0,3.0,217.904,211.856,27.69,-0.64728,56.627,0.3869071,0.95920942,0.28269647,0.73941948,632.95073326,1655.54276095,2238.97640707,3.22314755,0.04850278,0.85714286
16.0,16.0,9.0,4.0,1.0,1.0,1.0,4.0,249.877,246.853,44.76,-1.0386,56.6355,0.30158913,0.94025119,0.34048156,0.77298216,791.63900016,1797.22748295,2325.05687651,3.13571115,0.12668272,1.0
11.0,11.0,8.0,5.0,0.0,0.0,0.0,4.0,183.843,179.811,44.76,-1.3084,40.702,0.42055219,0.96685353,0.25533165,0.82120297,461.24411433,1483.46295539,1806.45102471,3.19406785,0.20603551,0.33333333
16.0,16.0,9.0,4.0,1.0,1.0,1.0,4.0,266.332,263.308,44.76,-0.5243,61.6875,0.28626863,0.93501451,0.35460946,0.91336092,948.09998044,2442.00331968,2673.64550063,3.37399106,0.27433852,1.0
14.0,14.0,8.0,4.0,1.0,1.0,1.0,3.0,221.867,218.843,27.69,-0.8166,51.848,0.35000235,0.95256127,0.30434687,0.90696861,577.88593917,1722.1284552,1898.77403786,3.07610137,0.30171225,1.0
16.0,16.0,9.0,4.0,1.0,1.0,1.0,4.0,249.877,246.853,44.76,-1.0386,56.6355,0.12430412,0.84430439,0.53586388,0.74728985,1049.51034743,1463.59637884,1958.53908027,2.99126961,0.25442712,1.0
14.0,14.0,7.0,4.0,1.0,1.0,1.0,3.0,217.904,211.856,27.69,-0.64728,56.627,0.29889843,0.93682971,0.34978578,0.71550923,701.96095795,1435.90613006,2006.83104905,3.08388982,0.08511046,0.85714286
17.0,17.0,7.0,4.0,1.0,1.0,1.0,3.0,259.985,247.889,27.69,0.3418,70.59,0.14522065,0.85358213,0.52095829,0.68869918,1334.56036059,1764.26911789,2561.7412715,3.29944557,0.3029238,0.6
14.0,14.0,8.0,4.0,1.0,1.0,1.0,3.0,221.867,218.843,27.69,-0.8166,51.848,0.2614844,0.92727813,0.37437316,0.89433742,620.47514325,1482.24870306,1657.37078152,2.91097204,0.24918117,1.0
16.0,16.0,8.0,4.0,1.0,1.0,1.0,4.0,245.914,239.866,44.76,-0.86928,61.4145,0.61636519,0.98820396,0.15314349,0.98349689,474.7428797,3048.82798293,3099.98742049,3.66977178,0.15833362,0.875
14.0,14.0,8.0,4.0,1.0,1.0,1.0,3.0,238.322,235.298,27.69,-0.3023,56.9,0.29907069,0.9386474,0.34487833,0.92226516,762.38732404,2038.75744095,2210.59792805,3.24262941,0.30280468,1.0
16.0,16.0,8.0,5.0,1.0,1.0,1.0,4.0,245.914,239.866,44.76,-1.2488,61.058,0.47685734,0.9751357,0.22160857,0.86633809,696.28066091,2721.98157954,3141.93917924,3.65217822,0.18971628,0.875
17.0,17.0,7.0,4.0,2.0,2.0,2.0,3.0,253.937,247.889,27.69,0.1975,69.396,0.5211348,0.98016782,0.19816923,0.91217886,666.18126613,3066.45222817,3361.67868592,3.7374652,0.12087051,1.0
16.0,16.0,9.0,4.0,1.0,1.0,1.0,4.0,266.332,263.308,44.76,-0.5243,61.6875,0.38696042,0.95949635,0.28172105,0.74730531,913.96331033,2424.41815171,3244.21374968,3.51537696,0.04772553,1.0
14.0,14.0,8.0,4.0,1.0,1.0,1.0,3.0,221.867,218.843,27.69,-0.8166,51.848,0.35780811,0.95453089,0.29811204,0.78306561,646.98722397,1699.47328411,2170.28212136,3.19044542,0.1241171,1.0
16.0,16.0,9.0,4.0,1.0,1.0,1.0,4.0,266.332,263.308,44.76,-0.5243,61.6875,0.18776017,0.8952004,0.44566382,0.79513216,1093.71714774,1951.35802584,2454.13043414,3.21309307,0.25122268,1.0
16.0,16.0,9.0,4.0,1.0,1.0,1.0,4.0,249.877,246.853,44.76,-1.0386,56.6355,0.49273089,0.97646292,0.21568533,0.9453435,597.89601335,2620.56350978,2772.07546185,3.46222003,0.23214289,1.0
15.0,15.0,9.0,4.0,1.0,1.0,0.0,5.0,232.875,229.851,57.65,-1.7827,54.4725,0.45841987,0.97236297,0.23347432,0.80377136,621.42575982,2139.3540572,2661.64505177,3.41208892,0.04605839,1.0
17.0,17.0,9.0,5.0,1.0,1.0,1.0,5.0,261.913,255.865,53.99,-1.1691,63.2295,0.36298488,0.9549882,0.29664379,0.75781161,933.84010817,2385.60491415,3148.01841089,3.51377109,0.07223005,0.875
14.0,14.0,8.0,4.0,1.0,1.0,1.0,3.0,238.322,235.298,27.69,-0.3023,56.9,0.32255102,0.94528389,0.32624893,0.92277974,698.61153746,1975.98985843,2141.34509373,3.17865769,0.26105045,1.0
