Mw,Frequency
185.81,0.11614401858304298
135.89,0.11614401858304298
133.81,0.11614401858304298
129.82,0.11614401858304298
631.96,0.11614401858304298
123.79,0.11614401858304298
237.87,0.5807200929152149
255.86,0.34843205574912894
251.66,0.23228803716608595
259.81,0.11614401858304298
221.8,0.11614401858304298
355.44,0.11614401858304298
115.6,0.11614401858304298
193.58,0.11614401858304298
135.82,0.11614401858304298
229.74,0.11614401858304298
269.94,0.11614401858304298
171.79,0.11614401858304298
257.86,0.34843205574912894
123.84,0.11614401858304298
404.07,0.34843205574912894
132.87,0.11614401858304298
389.46,0.11614401858304298
261.93,0.11614401858304298
271.82,0.11614401858304298
237.63,0.11614401858304298
199.8,0.11614401858304298
236.79,0.11614401858304298
215.8,0.23228803716608595
301.89,0.11614401858304298
109.81,0.11614401858304298
247.84,0.11614401858304298
249.9,0.4645760743321719
244.31,0.11614401858304298
121.78,0.11614401858304298
487.28,0.11614401858304298
387.94,0.11614401858304298
350.47,0.11614401858304298
254.32,0.4645760743321719
277.91,0.34843205574912894
269.91,0.11614401858304298
213.74,0.11614401858304298
223.61,0.11614401858304298
227.85,0.23228803716608595
415.05,0.11614401858304298
225.58,0.11614401858304298
405.69,0.11614401858304298
253.92,0.11614401858304298
135.76,0.11614401858304298
239.93,0.11614401858304298
237.59,0.11614401858304298
243.85,0.11614401858304298
361.85,0.11614401858304298
397.74,0.11614401858304298
248.62,0.11614401858304298
323.85,0.11614401858304298
343.84,0.11614401858304298
213.82,0.11614401858304298
295.84,0.23228803716608595
387.89,0.11614401858304298
187.79,0.11614401858304298
