0_Molecule,0_x,0_y,1_Molecule,1_x,1_y,2_Molecule,2_x,2_y,3_Molecule,3_x,3_y,4_Molecule,4_x,4_y,5_Molecule,5_x,5_y,6_Molecule,6_x,6_y,7_Molecule,7_x,7_y,8_Molecule,8_x,8_y,9_Molecule,9_x,9_y,10_Molecule,10_x,10_y,11_Molecule,11_x,11_y,12_Molecule,12_x,12_y,13_Molecule,13_x,13_y,14_Molecule,14_x,14_y,15_Molecule,15_x,15_y,16_Molecule,16_x,16_y
235.0,0.8774180353987592,-0.0298509794680349,55,-0.040161559522387,0.2628054180822454,194.0,0.0386850989816195,-0.1163451783971438,247.0,0.2564682835572176,0.1348990103717959,,,,325.0,0.5397463616776934,0.6031300657447112,54.0,-0.0693477474279151,0.5993221697545141,,,,244.0,0.4854178155409134,-0.5766382084582631,781.0,-1.2749452883049668,-0.1755840557612867,378.0,0.5848200072481239,-0.3126254269648951,79.0,-0.1351881708938297,-0.3441968754812152,387.0,-0.2727126863797786,-0.2744157537617001,834.0,-0.0530108481271845,-0.8324197241336257,256.0,0.520969462528511,-0.0867090127141331,72.0,-0.0317611078571301,0.3387554435428581,109.0,-0.0447999645965518,0.0606343708813052
306.0,0.9343076503227132,-0.5729786470533681,64,-0.0320215555448589,0.3043997011125344,195.0,-0.2975653856304746,0.0388460847486999,309.0,-0.1295874504944305,0.3081789407887375,,,,329.0,0.4849683590418059,0.6347497333068506,56.0,-0.0892416848455828,0.3597405321972936,,,,259.0,0.5722228552560904,-0.2865966763363882,800.0,-0.9264156395431219,0.300629867936607,385.0,0.4869276987757853,-0.043634307600864,96.0,-0.0467860795377302,-0.4010375738987333,405.0,-0.3690064058217574,-0.1404831028694632,,,,260.0,0.3705395402792487,0.0231847246631585,88.0,-0.0218415796238036,0.2905827584213559,117.0,-0.0546097151592891,-0.0934077717642788
316.0,0.9938291565119706,-0.5113633611388102,67,-0.0264897082112126,0.2016035207362469,196.0,-0.2882788531546603,-0.0277094625595612,312.0,-0.1415074050582391,0.2435707235606438,,,,348.0,0.4136270561483331,0.7966445695447879,57.0,-0.3196812554604355,0.5824574217326299,,,,290.0,0.5400522826536456,-0.6975781551805829,821.0,-1.2212869440108274,-0.1911374635539794,390.0,0.5300759802977597,-0.2183131043403146,100.0,-0.1174240055193434,-0.3720817302337371,434.0,-0.4733506951768492,-0.1540698826351139,,,,449.0,0.7083512194303807,-0.3338704376337973,97.0,-0.0288814802651155,0.1366270329834577,118.0,-0.0109482737650759,-0.090725743337663
322.0,0.9217110146082869,-0.5256818644944282,73,-0.077663625512295,0.1659487380323393,221.0,-0.0845577151302853,-0.3630986773767403,315.0,0.1946609436294525,0.310108015477102,,,,388.0,0.8154505594934354,0.2137658580364421,61.0,-0.1220402406701606,0.4726978194708193,,,,303.0,0.4732012374322527,-0.274700597798293,822.0,-1.1560482763436375,-0.6752361337885107,414.0,0.42692834124779,0.0730744778057987,119.0,-0.0623984484179391,-0.200767814161921,435.0,-0.4437190420309686,-0.0572880540608691,,,,455.0,0.6394299375695267,-0.2529890232979436,107.0,-0.2850586705241911,0.1789102941749511,122.0,0.0716498110469725,-0.0099533925503709
417.0,0.971510399269294,-0.3653118972288551,80,-0.0426080760775571,0.2806799030263197,223.0,-0.092366746683731,0.0136837065308011,345.0,-0.1767015734703695,0.0386368131328285,,,,393.0,0.400357793258703,0.7427443262445094,76.0,-0.1691493367699931,0.4503697688564302,,,,305.0,0.1544089946710707,-0.7706733722147111,825.0,-1.6355763534534964,-0.1287639719742652,427.0,0.6505764693632345,-0.0052487788515485,120.0,-0.0657926972825514,-0.2140099243485222,454.0,-0.4266353228999929,-0.2425400406660163,,,,480.0,0.3602184556473397,0.1617132883448273,126.0,-0.1501967142906864,0.2123374673601691,133.0,-0.0861269711415075,0.0257229643976901
458.0,0.9528644087716321,-0.4241694288702997,81,0.0046230006688596,0.1818954002809301,239.0,0.0568205993216961,-0.2411044546610007,356.0,0.1853974780627656,0.2711993791837216,,,,400.0,0.9102122729142021,0.4458559904926785,116.0,-0.1415933705171511,0.5995351162184951,,,,321.0,0.3449012138578421,-0.3311632154678689,827.0,-1.1372179652306653,-0.276174196651096,437.0,0.2840580159333052,0.3516000425529498,144.0,-0.0027575251480403,-0.372109955481744,470.0,-0.3950664790386069,-0.2300604089793694,,,,491.0,0.3335877773494096,0.2739126950921389,127.0,-0.0669219181410349,0.240978832506124,141.0,-0.1262628668388198,-0.0995714447497711
541.0,0.9076166267669488,-0.5324220364993297,82,0.0003798967268608,0.1232140333281343,252.0,-0.1419902748394332,-0.2202743221374202,367.0,0.2543204129810619,0.1778775410214199,,,,402.0,0.5867024234775488,0.5556698376243365,135.0,-0.1691255961933144,0.4121311551176661,,,,355.0,0.2521557543806401,-0.6060272265449209,,,,438.0,0.4633743452950674,-0.1081770348240814,148.0,-0.1100259767546222,-0.107384064836858,472.0,-0.5551728072320651,-0.1740592721540839,,,,531.0,0.5264421742278688,0.2350767495669581,128.0,-0.1985413591495818,0.2111874700410502,150.0,-0.0333804900801937,-0.0330657322383732
542.0,0.9806968082492267,-0.4269447073293248,83,-0.1811581754056328,0.1564119198140928,258.0,-0.0738312622581207,-0.0942492976629577,375.0,0.2423998122681076,0.0409062544911631,,,,406.0,0.7918627502608139,0.4207106767182708,146.0,-0.1751556362032114,0.4091761134349386,,,,373.0,0.6152437358607129,-0.3541564801462501,,,,440.0,0.2632080876608828,0.0708314441798618,149.0,-0.2393900349825678,-0.3357799913203745,483.0,-0.5769229555437009,-0.3606784964531141,,,,675.0,0.6426376526298325,-0.1381900548173425,138.0,-0.0928442416040555,0.0992113391020653,174.0,-0.0846905173571559,-0.0876914293595579
621.0,0.9485614998679582,-0.5725281434796627,91,-0.0940499424677274,0.1999544126866794,264.0,-0.1279965758219141,-0.0499444687288196,383.0,0.2064713729378267,0.1812087636075539,,,,426.0,0.5963620571866562,0.74913944484614,179.0,-0.2412251006810549,0.3303134801681046,,,,376.0,0.4821280809401751,-0.654766183807733,,,,441.0,0.4190299305073232,0.1339608130455282,158.0,-0.1409971580844685,-0.1587051379566244,488.0,-0.4616054098458816,-0.3343988110832256,,,,718.0,0.4293941926389746,0.0045096370605344,143.0,-0.0724472738250811,0.1348968299645129,183.0,-0.128185712012992,-0.0879870060405138
673.0,0.9398449597922649,-0.4915377265836026,124,-0.0250099532919716,0.2633336301134584,270.0,-0.0293819555006177,-0.0051648561733303,384.0,0.3235810491683662,0.3878370831571265,,,,439.0,0.9103261375384052,0.3623032632228494,184.0,-0.1135959239228828,0.3351571346820124,,,,377.0,0.2864373703913165,-0.9781107846944517,,,,442.0,0.2558045693724134,0.3135309808275835,165.0,-0.109901435524508,-0.3464971223886544,522.0,-0.5885011465191491,-0.6580209731454285,,,,755.0,0.4473335062877777,-0.0504123063182948,145.0,-0.0928372876876858,0.2094005850824833,186.0,-0.0903874931343605,-0.1001012703621478
