idx,canonicalsmiles,NumAtoms,NumHeavyAtoms,NumHeteroatoms,NumRotatableBonds,RingCount,NumAromaticRings,NumAromaticCarbocycles,NumHAcceptors,MolWt,HeavyAtomMolWt,TPSA,MolLogP,MolMR,Asphericity,Eccentricity,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex,FractionCSP2
168.0,N#Cc1cncc(B([O][Na])[O][Na])c1,,,,,,,,,,,,,,,,,,,,,,,
169.0,COc1ccc(B([O][Na])[O][Na])nc1,,,,,,,,,,,,,,,,,,,,,,,
170.0,[Na][O]B([O][Na])c1cncs1,,,,,,,,,,,,,,,,,,,,,,,
171.0,[Na][O]B([O][Na])c1cscn1,,,,,,,,,,,,,,,,,,,,,,,
172.0,Cc1ncc(B([O][Na])[O][Na])cn1,,,,,,,,,,,,,,,,,,,,,,,
173.0,O=Cc1cncc(B([O][Na])[O][Na])c1,,,,,,,,,,,,,,,,,,,,,,,
174.0,O=c1ccc(B([O][Na])[O][Na])c[nH]1,,,,,,,,,,,,,,,,,,,,,,,
175.0,COc1cnccc1B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
176.0,N#Cc1cc(B([O][Na])[O][Na])ccn1,,,,,,,,,,,,,,,,,,,,,,,
177.0,Cc1cc(B([O][Na])[O][Na])c(F)cn1,,,,,,,,,,,,,,,,,,,,,,,
178.0,O=Cc1ccc(B([O][Na])[O][Na])nc1,,,,,,,,,,,,,,,,,,,,,,,
179.0,Cc1c(B([O][Na])[O][Na])cnn1C,,,,,,,,,,,,,,,,,,,,,,,
180.0,Fc1cccnc1B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
181.0,[Na][O]B([O][Na])c1ccnnc1,,,,,,,,,,,,,,,,,,,,,,,
182.0,N#Cc1ccc(B([O][Na])[O][Na])cn1,,,,,,,,,,,,,,,,,,,,,,,
183.0,O=c1[nH]cccc1B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
184.0,Cc1cnc(F)cc1B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
185.0,CC1(C)CC1B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
186.0,N#Cc1sccc1B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
187.0,Cn1cc(B([O][Na])[O][Na])ccc1=O,,,,,,,,,,,,,,,,,,,,,,,
188.0,CCC(C)CB([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
189.0,Cc1cc(B([O][Na])[O][Na])c[nH]c1=O,,,,,,,,,,,,,,,,,,,,,,,
190.0,C#Cc1cccc(B([O][Na])[O][Na])c1,,,,,,,,,,,,,,,,,,,,,,,
191.0,Fc1csc(B([O][Na])[O][Na])c1,,,,,,,,,,,,,,,,,,,,,,,
192.0,[Na][O]B([O][Na])c1ccoc1Cl,,,,,,,,,,,,,,,,,,,,,,,
193.0,Cn1cccc(B([O][Na])[O][Na])c1=O,,,,,,,,,,,,,,,,,,,,,,,
194.0,N#Cc1cc(B([O][Na])[O][Na])cs1,,,,,,,,,,,,,,,,,,,,,,,
195.0,Cc1cc(B([O][Na])[O][Na])co1,,,,,,,,,,,,,,,,,,,,,,,
196.0,N#Cc1occc1B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
197.0,Cc1cn(C)nc1B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
198.0,[Na][O]B(C=Cc1ccccc1)[O][Na],,,,,,,,,,,,,,,,,,,,,,,
199.0,O=Cc1ccoc1B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
200.0,CC(C)CCB([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
201.0,FC(F)(F)B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
202.0,Cc1n[nH]c(C)c1B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
203.0,Cn1cncc1B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
204.0,FC1(B([O][Na])[O][Na])C=CC=CC1,,,,,,,,,,,,,,,,,,,,,,,
205.0,[Na][O]B(/C=C/CCCCl)[O][Na],,,,,,,,,,,,,,,,,,,,,,,
206.0,CCCn1cc(B([O][Na])[O][Na])cn1,,,,,,,,,,,,,,,,,,,,,,,
207.0,C[Si](C)(C)CB([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
208.0,CCCC=CB([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
209.0,Fc1ccc(B([O][Na])[O][Na])s1,,,,,,,,,,,,,,,,,,,,,,,
210.0,N#Cc1ccc(B([O][Na])[O][Na])o1,,,,,,,,,,,,,,,,,,,,,,,
211.0,Fc1cc(B([O][Na])[O][Na])cs1,,,,,,,,,,,,,,,,,,,,,,,
212.0,[Na][O]B(CCCCCl)[O][Na],,,,,,,,,,,,,,,,,,,,,,,
213.0,Cn1ncc(B([O][Na])[O][Na])c1C#N,,,,,,,,,,,,,,,,,,,,,,,
214.0,CCCCCC1CC1B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
215.0,CCCCCC=CB([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
216.0,[Na][O]B(C=CC1CCCCC1)[O][Na],,,,,,,,,,,,,,,,,,,,,,,
217.0,[Na][O]B([O][Na])c1ccc[nH]1,,,,,,,,,,,,,,,,,,,,,,,
218.0,C=CC(C)B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
219.0,CCC/C=C/C=C/B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
220.0,CC(C)(C)CCB([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
221.0,C=CCB([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
222.0,C=C(CC)B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
223.0,CCCC/C=C\B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
224.0,CC1=C(B([O][Na])[O][Na])C(=O)CC1C,,,,,,,,,,,,,,,,,,,,,,,
